estacaoId0,nome0,estacaoId1,nome1
8,Tucuruvi,9,Parada Inglesa
9,Parada Inglesa,10,Jardim São Paulo-Ayrton Senna
10,Jardim São Paulo-Ayrton Senna,11,Santana
11,Santana,12,Carandiru
12,Carandiru,13,Portuguesa-Tietê
13,Portuguesa-Tietê,14,Armênia
14,Armênia,15,Tiradentes
15,Tiradentes,171,Luz
171,Luz,17,São Bento
17,São Bento,186,Sé
186,Sé,19,Japão-Liberdade
19,Japão-Liberdade,20,São Joaquim
20,São Joaquim,21,Vergueiro
21,Vergueiro,174,Paraíso
174,Paraíso,152,Ana Rosa
152,Ana Rosa,24,Vila Mariana
24,Vila Mariana,25,SantaCruz
25,SantaCruz,26,Praça da Árvore
26,Praça da Árvore,27,Saúde
27,Saúde,28,São Judas
28,São Judas,29,Conceição
29,Conceição,30,Jabaquara
188,Vila Madalena,52,S. N. Sra. De Fátima-Sumaré
52,S. N. Sra. De Fátima-Sumaré,51,Clínicas
51,Clínicas,50,Consolação
50,Consolação,49,Trianon-Masp
49,Trianon-Masp,48,Brigadeiro
48,Brigadeiro,175,Paraíso
175,Paraíso,153,Ana Rosa
153,Ana Rosa,149,ChacaraKlabin
149,ChacaraKlabin,150,Santos-Imigrantes
150,Santos-Imigrantes,151,Alto do Ipiranga
151,Alto do Ipiranga,200,Sacomã
200,Sacomã,201,Tamanduateí
201,Tamanduateí,202,Vila Prudente
156,Palmeiras-Barra Funda,32,Marechal Deodoro
32,Marechal Deodoro,33,Santa Cecília
33,Santa Cecília,338,República
338,República,35,Anhangabaú
35,Anhangabaú,187,Sé
187,Sé,36,Pedro II
36,Pedro II,157,Brás
157,Brás,38,Bresser-Mooca
38,Bresser-Mooca,39,Belém
39,Belém,182,Tatuapé
182,Tatuapé,41,Carrão
41,Carrão,42,Penha
42,Penha,43,Vila Matilde
43,Vila Matilde,44,Guilhermina-Esperança
44,Guilhermina-Esperança,45,Patriarca
45,Patriarca,46,Artur Alvim
46,Artur Alvim,165,Corinthians-Itaquera
211,Luz,212,República
212,República,346,Higienópolis-Mackenzie
346,Higienópolis-Mackenzie,214,Paulista
214,Paulista,347,Oscar Freire
347,Oscar Freire,340,Fradique Coutinho
340,Fradique Coutinho,218,Faria Lima
218,Faria Lima,335,Pinheiros
335,Pinheiros,220,Butantã
220,Butantã,354,São Paulo-Morumbi
